benchmark,model,num_tasks,num_cases,M25,M50,M75,SR,MP,PPL,CRA,STR,DRR,FNS,SQS
RoboChallenge-Table30,cogact,30,295,0.6745762711864407,0.31864406779661014,0.1864406779661017,0.11864406779661017,0.41390169491525425,0.19811166510244765,0.153945702543886,0.30598282751812333,0.6044302323623287,0.26100384615384614,0.67791107204767
RoboChallenge-Table30,dm0,30,300,0.8766666666666667,0.81,0.6333333333333333,0.62,0.70273,0.370356952175139,0.10109389134958996,0.33532983233313873,0.7463635423493202,0.401890350877193,0.6571442861318834
RoboChallenge-Table30,gigabrain-0.1,30,300,0.9233333333333333,0.8166666666666667,0.6033333333333334,0.5166666666666667,0.70117,0.3386169833407256,0.11999024149821924,0.31213442665650554,0.6845781986236403,0.4962068965517241,0.6558025869545575
RoboChallenge-Table30,pi0,30,300,0.83,0.5966666666666667,0.35333333333333333,0.2833333333333333,0.56062,0.2667166970425538,0.16078621435034282,0.32595921589589716,0.6460065311639877,0.3693046511627907,0.6702614048872751
RoboChallenge-Table30,pi0.5,30,300,0.9366666666666666,0.74,0.5333333333333333,0.4266666666666667,0.6606266666666667,0.3233293751866502,0.1392616357020212,0.3053035598488949,0.6846329134468041,0.4764767441860465,0.6611039727079585
RoboChallenge-Table30,rdt-1b,30,299,0.6622073578595318,0.3779264214046823,0.17391304347826086,0.1505016722408027,0.41507357859531774,0.14551108311138095,0.15439685784134705,0.4363635157803244,0.7542839529841272,0.23455314960629922,0.6206323607609148
RoboChallenge-Table30,spirit-v1.5,30,300,0.92,0.7866666666666666,0.55,0.51,0.6708733333333333,0.3037573152671521,0.12327762539154294,0.31482592054907627,0.622996361856714,0.42568367346938774,0.6345355030788975
RoboChallenge-Table30,wall-oss-v0.1,30,300,0.8666666666666667,0.66,0.4166666666666667,0.35333333333333333,0.59737,0.20557424412879619,0.12694967329425838,0.4124940441668847,0.6671080308789658,0.3788376288659794,0.5801280376837433
RoboChallenge-Table30,x-vla,30,300,0.7433333333333333,0.49333333333333335,0.25666666666666665,0.21333333333333335,0.48958999999999997,0.22701774528645846,0.17159822178975231,0.304314973542364,0.6599880019396853,0.2954406779661017,0.6625666649078886
